catchability[cpueq].q process[recruitment].r0 selectivity[fishingsel].a50 selectivity[fishingsel].ato95
7.51666e-006 2.03128e+006 5 1.38616
catchability[cpueq].q process[recruitment].r0 selectivity[fishingsel].a50 selectivity[fishingsel].ato95
8.34424e-006 2.07882e+006 6 1.80373
catchability[cpueq].q process[recruitment].r0 selectivity[fishingsel].a50 selectivity[fishingsel].ato95
9.37795e-006 2.09533e+006 7 2.36288
catchability[cpueq].q process[recruitment].r0 selectivity[fishingsel].a50 selectivity[fishingsel].ato95
1.06441e-005 2.08027e+006 8 3.11298
catchability[cpueq].q process[recruitment].r0 selectivity[fishingsel].a50 selectivity[fishingsel].ato95
9.32233e-006 2.49688e+006 9 3.92992
catchability[cpueq].q process[recruitment].r0 selectivity[fishingsel].a50 selectivity[fishingsel].ato95
1.07415e-005 2.39969e+006 10 4.73789
catchability[cpueq].q process[recruitment].r0 selectivity[fishingsel].a50 selectivity[fishingsel].ato95
1.27525e-005 2.22299e+006 11 5.56065
catchability[cpueq].q process[recruitment].r0 selectivity[fishingsel].a50 selectivity[fishingsel].ato95
3.04567e-005 1.15384e+006 12 6.35552
catchability[cpueq].q process[recruitment].r0 selectivity[fishingsel].a50 selectivity[fishingsel].ato95
3.90483e-005 1.00273e+006 13 7.22616
catchability[cpueq].q process[recruitment].r0 selectivity[fishingsel].a50 selectivity[fishingsel].ato95
2.65515e-005 1.32892e+006 14 8.27384
catchability[cpueq].q process[recruitment].r0 selectivity[fishingsel].a50 selectivity[fishingsel].ato95
0.00010456 501400 15 8.71045
