[initialisation-phase1]
report.type: initialisation
initialisation.initialisation_phase: Phase1
years: 100
lambda: 1e-10
lambda_hat: 0.000209034 5.69062e-05 1.55041e-05 4.22502e-06 1.15143e-06 3.13799e-07
lambda_years: 50 60 70 80 90 100
row column category age[2] age[3] age[4] age[5] age[6] age[7] age[8] age[9] age[10] age[11] age[12] age[13] age[14] age[15] age[16] age[17] age[18] age[19] age[20] age[21] age[22] age[23] age[24] age[25] age[26] age[27] age[28] age[29] age[30]
1 13 spawning 0 0 0 0 1.42029 4.00265 10.1683 25.4148 62.6134 148.911 324.872 597.029 864.989 1010.16 1024.89 963.421 872.25 776.104 685.274 603.098 530.058 465.618 408.911 359.08 315.312 276.875 243.123 213.486 1537.65
1 13 postspawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 13 immature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 13 mature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 13 prespawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 13 spawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 13 postspawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 14 immature 0 27171 23858.8 20950.3 18386.9 16130 14124.9 12306.8 10571.7 8739.28 6572.28 4090.41 1958.92 747.5 250.679 79.4924 24.6775 7.60244 2.33577 0.716962 0.219997 0 0 0 0 0 0 0 0
1 14 mature 0 0 0 0 8.04828 19.7717 49.4196 123.183 302.737 715.541 1535.84 2717.54 3678.36 3951.96 3738.02 3359.5 2968.81 2610.78 2293.07 2013.51 1767.98 1552.47 1363.16 1196.97 1051.05 922.921 810.412 711.619 5125.5
1 14 prespawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 14 spawning 0 0 0 0 1.42029 4.00265 10.1683 25.4148 62.6134 148.911 324.872 597.029 864.989 1010.16 1024.89 963.421 872.25 776.104 685.274 603.098 530.058 465.618 408.911 359.08 315.312 276.875 243.123 213.486 1537.65
1 14 postspawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 14 immature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 14 mature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 14 prespawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 14 spawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 14 postspawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 15 immature 0 27171 23858.8 20950.3 18386.9 16130 14124.9 12306.8 10571.7 8739.28 6572.28 4090.41 1958.92 747.5 250.679 79.4924 24.6775 7.60244 2.33577 0.716962 0.219997 0 0 0 0 0 0 0 0
1 15 mature 0 0 0 0 8.04828 19.7717 49.4196 123.183 302.737 715.541 1535.84 2717.54 3678.36 3951.96 3738.02 3359.5 2968.81 2610.78 2293.07 2013.51 1767.98 1552.47 1363.16 1196.97 1051.05 922.921 810.412 711.619 5125.5
1 15 prespawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 15 spawning 0 0 0 0 1.42029 4.00265 10.1683 25.4148 62.6134 148.911 324.872 597.029 864.989 1010.16 1024.89 963.421 872.25 776.104 685.274 603.098 530.058 465.618 408.911 359.08 315.312 276.875 243.123 213.486 1537.65
1 15 postspawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 15 immature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 15 mature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 15 prespawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 15 spawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 15 postspawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 8 immature 0 27171 23858.8 20950.3 18386.9 16130 14124.9 12306.8 10571.7 8739.28 6572.28 4090.41 1958.92 747.5 250.679 79.4924 24.6775 7.60244 2.33577 0.716962 0.219997 0 0 0 0 0 0 0 0
2 8 mature 0 0 0 0 8.04828 19.7717 49.4196 123.183 302.737 715.541 1535.84 2717.54 3678.36 3951.96 3738.02 3359.5 2968.81 2610.78 2293.07 2013.51 1767.98 1552.47 1363.16 1196.97 1051.05 922.921 810.412 711.619 5125.5
2 8 prespawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 8 spawning 0 0 0 0 1.42029 4.00265 10.1683 25.4148 62.6134 148.911 324.872 597.029 864.989 1010.16 1024.89 963.421 872.25 776.104 685.274 603.098 530.058 465.618 408.911 359.08 315.312 276.875 243.123 213.486 1537.65
2 8 postspawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 8 immature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 8 mature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 8 prespawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 8 spawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 8 postspawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 9 immature 0 27171 23858.8 20950.3 18386.9 16130 14124.9 12306.8 10571.7 8739.28 6572.28 4090.41 1958.92 747.5 250.679 79.4924 24.6775 7.60244 2.33577 0.716962 0.219997 0 0 0 0 0 0 0 0
2 9 mature 0 0 0 0 8.04828 19.7717 49.4196 123.183 302.737 715.541 1535.84 2717.54 3678.36 3951.96 3738.02 3359.5 2968.81 2610.78 2293.07 2013.51 1767.98 1552.47 1363.16 1196.97 1051.05 922.921 810.412 711.619 5125.5
2 9 prespawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 9 spawning 0 0 0 0 1.42029 4.00265 10.1683 25.4148 62.6134 148.911 324.872 597.029 864.989 1010.16 1024.89 963.421 872.25 776.104 685.274 603.098 530.058 465.618 408.911 359.08 315.312 276.875 243.123 213.486 1537.65
2 9 postspawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 9 immature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 9 mature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 9 prespawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 9 spawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 9 postspawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 10 immature 0 27171 23858.8 20950.3 18386.9 16130 14124.9 12306.8 10571.7 8739.28 6572.28 4090.41 1958.92 747.5 250.679 79.4924 24.6775 7.60244 2.33577 0.716962 0.219997 0 0 0 0 0 0 0 0
2 10 mature 0 0 0 0 8.04828 19.7717 49.4196 123.183 302.737 715.541 1535.84 2717.54 3678.36 3951.96 3738.02 3359.5 2968.81 2610.78 2293.07 2013.51 1767.98 1552.47 1363.16 1196.97 1051.05 922.921 810.412 711.619 5125.5
2 10 prespawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 10 spawning 0 0 0 0 1.42029 4.00265 10.1683 25.4148 62.6134 148.911 324.872 597.029 864.989 1010.16 1024.89 963.421 872.25 776.104 685.274 603.098 530.058 465.618 408.911 359.08 315.312 276.875 243.123 213.486 1537.65
2 10 postspawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 10 immature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 10 mature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 10 prespawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 10 spawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 10 postspawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 11 immature 0 27171 23858.8 20950.3 18386.9 16130 14124.9 12306.8 10571.7 8739.28 6572.28 4090.41 1958.92 747.5 250.679 79.4924 24.6775 7.60244 2.33577 0.716962 0.219997 0 0 0 0 0 0 0 0
2 11 mature 0 0 0 0 8.04828 19.7717 49.4196 123.183 302.737 715.541 1535.84 2717.54 3678.36 3951.96 3738.02 3359.5 2968.81 2610.78 2293.07 2013.51 1767.98 1552.47 1363.16 1196.97 1051.05 922.921 810.412 711.619 5125.5
2 11 prespawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 11 spawning 0 0 0 0 1.42029 4.00265 10.1683 25.4148 62.6134 148.911 324.872 597.029 864.989 1010.16 1024.89 963.421 872.25 776.104 685.274 603.098 530.058 465.618 408.911 359.08 315.312 276.875 243.123 213.486 1537.65
2 11 postspawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 11 immature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 11 mature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 11 prespawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 11 spawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 11 postspawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 12 immature 0 27171 23858.8 20950.3 18386.9 16130 14124.9 12306.8 10571.7 8739.28 6572.28 4090.41 1958.92 747.5 250.679 79.4924 24.6775 7.60244 2.33577 0.716962 0.219997 0 0 0 0 0 0 0 0
2 12 mature 0 0 0 0 8.04828 19.7717 49.4196 123.183 302.737 715.541 1535.84 2717.54 3678.36 3951.96 3738.02 3359.5 2968.81 2610.78 2293.07 2013.51 1767.98 1552.47 1363.16 1196.97 1051.05 922.921 810.412 711.619 5125.5
2 12 prespawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 12 spawning 0 0 0 0 1.42029 4.00265 10.1683 25.4148 62.6134 148.911 324.872 597.029 864.989 1010.16 1024.89 963.421 872.25 776.104 685.274 603.098 530.058 465.618 408.911 359.08 315.312 276.875 243.123 213.486 1537.65
2 12 postspawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 12 immature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 12 mature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 12 prespawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 12 spawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 12 postspawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 13 immature 0 27171 23858.8 20950.3 18386.9 16130 14124.9 12306.8 10571.7 8739.28 6572.28 4090.41 1958.92 747.5 250.679 79.4924 24.6775 7.60244 2.33577 0.716962 0.219997 0 0 0 0 0 0 0 0
2 13 mature 0 0 0 0 8.04828 19.7717 49.4196 123.183 302.737 715.541 1535.84 2717.54 3678.36 3951.96 3738.02 3359.5 2968.81 2610.78 2293.07 2013.51 1767.98 1552.47 1363.16 1196.97 1051.05 922.921 810.412 711.619 5125.5
2 13 prespawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 13 spawning 0 0 0 0 1.42029 4.00265 10.1683 25.4148 62.6134 148.911 324.872 597.029 864.989 1010.16 1024.89 963.421 872.25 776.104 685.274 603.098 530.058 465.618 408.911 359.08 315.312 276.875 243.123 213.486 1537.65
2 13 postspawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 13 immature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 13 mature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 13 prespawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 13 spawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 13 postspawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 14 immature 0 27171 23858.8 20950.3 18386.9 16130 14124.9 12306.8 10571.7 8739.28 6572.28 4090.41 1958.92 747.5 250.679 79.4924 24.6775 7.60244 2.33577 0.716962 0.219997 0 0 0 0 0 0 0 0
2 14 mature 0 0 0 0 8.04828 19.7717 49.4196 123.183 302.737 715.541 1535.84 2717.54 3678.36 3951.96 3738.02 3359.5 2968.81 2610.78 2293.07 2013.51 1767.98 1552.47 1363.16 1196.97 1051.05 922.921 810.412 711.619 5125.5
2 14 prespawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 14 spawning 0 0 0 0 1.42029 4.00265 10.1683 25.4148 62.6134 148.911 324.872 597.029 864.989 1010.16 1024.89 963.421 872.25 776.104 685.274 603.098 530.058 465.618 408.911 359.08 315.312 276.875 243.123 213.486 1537.65
2 14 postspawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 14 immature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 14 mature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 14 prespawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 14 spawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 14 postspawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 15 immature 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 15 mature 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 15 prespawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 15 spawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 15 postspawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 15 immature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 15 mature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 15 prespawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 15 spawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 15 postspawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 8 immature 0 27171 23858.8 20950.3 18386.9 16130 14124.9 12306.8 10571.7 8739.28 6572.28 4090.41 1958.92 747.5 250.679 79.4924 24.6775 7.60244 2.33577 0.716962 0.219997 0 0 0 0 0 0 0 0
3 8 mature 0 0 0 0 8.04828 19.7717 49.4196 123.183 302.737 715.541 1535.84 2717.54 3678.36 3951.96 3738.02 3359.5 2968.81 2610.78 2293.07 2013.51 1767.98 1552.47 1363.16 1196.97 1051.05 922.921 810.412 711.619 5125.5
3 8 prespawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 8 spawning 0 0 0 0 1.42029 4.00265 10.1683 25.4148 62.6134 148.911 324.872 597.029 864.989 1010.16 1024.89 963.421 872.25 776.104 685.274 603.098 530.058 465.618 408.911 359.08 315.312 276.875 243.123 213.486 1537.65
3 8 postspawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 8 immature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 8 mature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 8 prespawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 8 spawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 8 postspawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 9 immature 0 27171 23858.8 20950.3 18386.9 16130 14124.9 12306.8 10571.7 8739.28 6572.28 4090.41 1958.92 747.5 250.679 79.4924 24.6775 7.60244 2.33577 0.716962 0.219997 0 0 0 0 0 0 0 0
3 9 mature 0 0 0 0 8.04828 19.7717 49.4196 123.183 302.737 715.541 1535.84 2717.54 3678.36 3951.96 3738.02 3359.5 2968.81 2610.78 2293.07 2013.51 1767.98 1552.47 1363.16 1196.97 1051.05 922.921 810.412 711.619 5125.5
3 9 prespawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 9 spawning 0 0 0 0 1.42029 4.00265 10.1683 25.4148 62.6134 148.911 324.872 597.029 864.989 1010.16 1024.89 963.421 872.25 776.104 685.274 603.098 530.058 465.618 408.911 359.08 315.312 276.875 243.123 213.486 1537.65
3 9 postspawning 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 9 immature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 9 mature-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 9 prespawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 9 spawning-tag 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
